Date de comptabilisation;Libelle simplifie;Libelle operation;Reference;Informations complementaires;Type operation;Categorie;Sous categorie;Debit;Credit;Date operation;Date de valeur;Pointage operation
21/08/2025;HARMONIE MUTUELLE;VIR SEPA HARMONIE MUTUELLE;2523246K10222017;TP-20250819-HARMONIE MUTUELLE   -         -0000609143-0814-28062309-IP0379335538;Virement recu;Revenus et rentrees d'argent;Remboursements de soins;;+9,00;21/08/2025;21/08/2025;0
20/08/2025;MUTUELLE GENERALE EDUC;VIR SEPA MUTUELLE GENERALE EDUC;2523246K10053407;OW045P565525045OWRQ65558426FY78 OW14/08/25-7809/7809-OWRQ0000001660112;Virement recu;Revenus et rentrees d'argent;Remboursements de soins;;+0,42;20/08/2025;20/08/2025;0
20/08/2025;EDF;PRLV EDF clients particuliers;2523046G10621775;2523046G10621775-;Prelevement;Logement - maison;Energie eau, gaz, electricite, fioul ;-144,36;;20/08/2025;20/08/2025;0
19/08/2025;DGFIP;PRLV DIRECTION GENERALE DES FINA;2522346G11351133;2522346G11351133-;Prelevement;Impots et taxes;Impots et taxes - autre;-155,00;;19/08/2025;19/08/2025;0
18/08/2025;BPCE ASSURANCES;PRLV BPCE ASSURANCES IARD;2522346G10300903;2522346G10300903-;Prelevement;Banque et assurances;Banque et assurance - autre;-57,22;;18/08/2025;18/08/2025;0
11/08/2025;VIREMENT VERS COMPTE CHEQUE;VIREMENT VERS COMPTE CHEQUE;2522346IN0136172;;Virement;Transaction exclue;Virement interne;-200,00;;11/08/2025;11/08/2025;0
11/08/2025;SYNDICAT DE COPROPRIETE LE PARVIS DU THEATRE 1;PRLV SDC LE PARVIS DU THEATRE;2522046G10294809;2522046G10294809-;Prelevement;Logement - maison;Logement - autre;-165,99;;11/08/2025;11/08/2025;0
08/08/2025;VM 45000;PRLV VM45000;2521946G10475408;2521946G10475408-;Prelevement;Loisirs et vacances;Sport, Gym et Equipement;-21,10;;08/08/2025;08/08/2025;0
07/08/2025;FREE MOBILE;PRLV FREE MOBILE;2521846G11094787;2521846G11094787-;Prelevement;Logement - maison;Internet et telephonie;-19,28;;07/08/2025;07/08/2025;0
06/08/2025;KEOLIS ORLEANS METROPOLE MOBILITES;PRLV KEOLIS ORLEANS METROPOLE MO;2521746G10487910;2521746G10487910-;Prelevement;Transports;Transports en commun;-42,90;;06/08/2025;06/08/2025;0
06/08/2025;FREEBOX;PRLV Free Telecom;2521746G11461529;2521746G11461529-;Prelevement;Logement - maison;Internet et telephonie;-65,98;;06/08/2025;06/08/2025;0
05/08/2025;HARMONIE MUTUELLE;PRLV HARMONIE MUTUELLE;2520946G10347929;2520946G10347929-;Prelevement;Sante;Mutuelle;-26,51;;05/08/2025;05/08/2025;0
05/08/2025;BPCE ASSURANCES;PRLV BPCE ASSURANCES IARD;2521246G11615195;2521246G11615195-;Prelevement;Banque et assurances;Banque et assurance - autre;-29,36;;05/08/2025;05/08/2025;0
05/08/2025;BPCE ASSURANCES;PRLV BPCE ASSURANCES IARD;2521246G11634450;2521246G11634450-;Prelevement;Banque et assurances;Banque et assurance - autre;-28,09;;05/08/2025;05/08/2025;0
05/08/2025;BPCE ASSURANCES;PRLV BPCE ASSURANCES IARD;2521246G12444056;2521246G12444056-;Prelevement;Banque et assurances;Banque et assurance - autre;-18,76;;05/08/2025;05/08/2025;0
05/08/2025;BPCE ASSURANCES;PRLV BPCE ASSURANCES IARD;2521246G12122210;2521246G12122210-;Prelevement;Banque et assurances;Banque et assurance - autre;-43,11;;05/08/2025;05/08/2025;0
04/08/2025;CELC;PRLV CE LOIRE CENTRE;2521346G11107477;2521346G11107477-;Prelevement;Banque et assurances;Banque et assurance - autre;-819,89;;04/08/2025;04/08/2025;0
02/08/2025;VIREMENT VERS LIVRET A;VIREMENT VERS LIVRET A;2521446IN0160577;;Virement;Transaction exclue;Virement interne;-1500,00;;02/08/2025;02/08/2025;0
02/08/2025;VIREMENT VERS COMPTE CHEQUE;VIREMENT VERS COMPTE CHEQUE;2521446IN0159427;;Virement;Transaction exclue;Virement interne;-400,00;;02/08/2025;02/08/2025;0
01/08/2025;CNP ASSURANCES;PRLV 63322C - CNP ASSURANCES;2521146G10599887;2521146G10599887-;Prelevement;Banque et assurances;Banque et assurance - autre;-18,70;;01/08/2025;01/08/2025;0
01/08/2025;VIREMENT VERS COMPTE CHEQUE;VIREMENT VERS COMPTE CHEQUE;;VIREMENT DE M CLARY-DERYCKERE PHILIPPE OU MM-VIREMENT DE M CLARY-DERYCKERE PHILI;Virement;Transaction exclue;Virement interne;-150,00;;01/08/2025;01/08/2025;0
30/07/2025;DDFIP D'INDRE ET LOIRE;VIR SEPA DDFIP D'INDRE ET LOIRE;2521046K10223804;37BXP0031500769988W01BKE044WIM CGR037 3121010350239M 01/08/2025 CLARY-DERYCKERE Philippe-5I037000037BXP00315007699;Virement recu;A categoriser - rentree d'argent;Virement recu - a categoriser;;+1153,85;30/07/2025;30/07/2025;0
29/07/2025;VIREMENT VERS COMPTE CHEQUE;VIREMENT VERS COMPTE CHEQUE;2521046IN0266508;;Virement;Transaction exclue;Virement interne;-500,00;;29/07/2025;29/07/2025;0
29/07/2025;DDFIP DE LA MARNE;VIR SEPA DDFIP DE LA MARNE;2520946K10165092;REMUNERATION DU 07/2025. MINISTERE : 470 GESTION : J38-035-1G9729000 PAYES 2025-07-29-00009052;Virement recu;Revenus et rentrees d'argent;Salaires;;+3702,94;29/07/2025;29/07/2025;0
26/07/2025;VIREMENT VERS COMPTE CHEQUE;VIREMENT VERS COMPTE CHEQUE;2520746IN0153728;;Virement;Transaction exclue;Virement interne;-20,00;;26/07/2025;26/07/2025;0
25/07/2025;FREE MOBILE;PRLV FREE MOBILE;2520546G10628355;2520546G10628355-;Prelevement;Logement - maison;Internet et telephonie;-2,00;;25/07/2025;25/07/2025;0
